id,default_flag,days_past_due,balance,credit_limit,external_score
1,0,2,159.0140807,700,963
2,0,12,1060.501843,1300,569
3,0,8,36.35745588,1000,640
4,0,0,1336.433975,1900,837
5,0,0,847.9289451,1800,890
6,0,0,635.0946306,800,236
7,1,13,270.4825637,300,117
8,0,0,885.7309977,1000,222
9,0,10,284.359594,900,591
10,0,0,563.8450517,600,461
11,0,1,1357.067653,1500,782
12,0,6,279.3855088,600,61
13,1,429,533.7760186,1000,533
14,0,4,101.4524935,1600,681
15,0,4,233.8432612,400,690
16,0,2,1151.735858,2500,846
17,0,7,1212.691441,1400,682
18,0,44,210.0255027,1700,768
19,0,3,178.7972998,200,144
20,0,0,495.7420496,700,374
21,0,1,871.2122294,1400,901
22,1,1,178.3840205,200,61
23,0,2,1001.392414,1900,883
24,1,0,18.05136999,1000,273
25,0,1,31.99539876,800,379
26,0,0,1536.716541,2000,908
27,1,0,208.7045413,400,474
28,0,41,30.09793152,900,542
29,1,20,112.3472289,1000,176
30,1,0,588.8201518,800,286
31,0,1,1842.630721,1900,781
32,1,11,38.38565874,1000,24
33,1,2,103.6847233,600,16
34,0,3,407.642153,500,131
35,0,9,270.5910016,800,209
36,0,13,47.00914902,200,91
37,0,0,548.7989107,1300,599
38,0,0,450.757855,1100,549
39,1,1,78.46586898,600,9
40,0,1,598.9424285,600,451
41,0,8,175.0046288,800,680
42,1,0,681.9358034,700,367
43,0,1,2227.606715,2300,935
44,1,107,635.132074,1200,426
45,0,1,119.6421218,400,347
46,0,3,170.4019246,700,393
47,1,44,185.7831939,200,30
48,0,1,149.808297,500,246
49,0,0,427.9769233,1900,962
50,0,2,249.2194946,1500,634
51,1,5,203.9079243,500,13
52,0,18,92.50398946,900,498
53,1,0,17.4783585,200,51
54,0,0,137.0080278,1100,658
55,1,3,395.8703558,1100,506
56,0,155,525.7742627,1300,549
57,0,0,595.0811011,2300,861
58,1,49,262.3098028,600,188
59,1,0,92.28065475,900,34
60,0,0,1539.475937,1600,550
61,0,8,521.2119678,1500,713
62,1,20,273.4471974,800,271
63,1,3,1124.413518,1200,312
64,0,0,1688.578699,1700,774
65,1,9,992.8276242,1100,104
66,1,27,67.04220182,200,145
67,0,0,512.4188009,700,292
68,0,0,26.44677595,200,73
69,0,0,1870.233454,1900,849
70,0,0,258.5875773,700,288
71,0,4,422.3856079,1300,419
72,1,2,133.8874245,800,290
73,0,0,146.9946092,700,757
74,0,0,1007.773708,1700,969
75,1,0,16.41807599,1700,722
76,1,105,435.7914192,600,444
77,0,7,323.3844977,1400,940
78,0,11,116.5615912,500,48
79,1,8,92.33198702,200,195
80,1,0,104.947588,200,163
81,0,0,1133.635179,1300,803
82,0,3,499.5092697,1200,537
83,0,20,863.4062623,1200,14
84,0,0,624.2216246,1100,880
85,0,6,1666.797762,2800,968
86,0,0,645.8748679,2200,812
87,0,0,1540.458313,1900,772
88,1,86,24.41999848,800,6
89,0,0,106.0407675,1600,733
90,1,3,359.1178365,1000,141
91,1,1,64.8237117,500,176
92,1,1,345.3719233,1100,670
93,0,0,266.8413308,1300,827
94,0,0,571.8489639,800,242
95,1,0,753.2865694,800,637
96,1,1,101.4121824,1000,569
97,0,0,865.2576756,1100,407
98,0,4,60.06142718,800,643
99,0,0,861.2432507,1700,800
100,1,3,67.81793245,500,490
101,1,90,140.9797275,1800,814
102,1,0,1071.611139,1400,538
103,0,1,783.2108313,1600,824
104,0,4,26.1888044,200,37
105,1,3,744.6186908,1100,638
106,0,0,203.0963426,1100,788
107,0,2,1649.797476,3100,904
108,0,1,275.9330689,1100,655
109,1,1,669.7767026,1000,483
110,0,0,520.2511796,1100,823
111,0,0,64.79000657,2100,676
112,0,0,376.7888581,1900,883
113,0,0,1540.588225,2500,795
114,0,4,36.13134332,500,309
115,1,4,246.0177656,300,75
116,0,6,58.10030497,800,638
117,1,18,560.8409603,1600,621
118,0,4,466.5877632,600,246
119,1,9,55.09218616,700,469
120,1,29,504.2984567,1200,417
121,0,1,567.7276017,700,451
122,0,3,9.067258306,400,238
123,0,1,619.5396289,900,633
124,0,1,877.5108817,1000,713
125,0,0,935.8664362,1000,770
126,1,35,140.7415228,1900,825
127,0,4,95.9015168,500,101
128,0,0,49.40956196,300,481
129,1,17,410.2545345,800,218
130,0,1,54.41674922,700,310
131,0,2,1727.022214,2100,918
132,1,85,847.0628761,900,148
133,1,14,1121.50218,1800,526
134,0,2,939.3817328,1600,802
135,1,37,1065.5381,1100,538
136,1,36,1209.842689,1300,789
137,0,13,222.1259406,700,468
138,0,15,1198.560124,1200,48
139,0,5,35.94392726,300,203
140,1,0,2.734756466,900,118
141,0,11,263.8535984,700,244
142,1,22,804.4008654,1000,518
143,1,49,551.5609763,800,377
144,0,3,2599.010455,2600,940
145,0,0,262.8082744,1100,560
146,0,7,1646.838165,2000,782
147,1,0,6.744289532,1100,124
148,0,0,223.4012399,600,472
149,0,6,353.8893588,500,468
150,0,2,132.3612762,900,358
151,0,15,879.2286607,2200,896
152,1,47,1715.899957,2300,643
153,1,46,57.02124709,300,53
154,0,3,691.3009608,1000,965
155,1,15,393.3134037,400,54
156,0,21,952.0984682,1500,522
157,1,0,136.0131096,200,6
158,0,0,287.3764117,700,466
159,0,4,8.87810479,200,50
160,0,3,1264.467863,1500,839
161,1,4,285.8221032,300,62
162,0,0,1377.790915,1800,893
